Index,-30,-20,-10,0,10,20,frequency (Hz)
197,-123.641540527344,-131.862182617187,-112.497711181641,-107.090431213379,-90.8602294921875,-88.0547485351562,1232.126875
198,-123.672805786133,-131.886352539063,-112.518562316895,-107.114967346191,-90.8802642822266,-88.0727615356445,1238.37625
199,-123.704498291016,-131.910842895508,-112.539680480957,-107.139808654785,-90.9005813598633,-88.0910568237305,1244.625625
200,-123.736618041992,-131.935668945313,-112.561058044434,-107.164947509766,-90.9211807250977,-88.1096115112305,1250.875
201,-123.768478393555,-131.960113525391,-112.581962585449,-107.18968963623,-90.9413681030273,-88.1277313232422,1257.1243749999999
202,-123.800765991211,-131.984909057617,-112.603141784668,-107.214736938477,-90.9618225097656,-88.146110534668,1263.37375
203,-123.83349609375,-132.010025024414,-112.624557495117,-107.24006652832,-90.982551574707,-88.1647567749023,1269.6231249999998
204,-123.866653442383,-132.035461425781,-112.646217346191,-107.265701293945,-91.0035552978516,-88.1836547851563,1275.8725
205,-123.900253295898,-132.061233520508,-112.668113708496,-107.291625976562,-91.0248184204102,-88.2028121948242,1282.121875
206,-123.934295654297,-132.087310791016,-112.690254211426,-107.317855834961,-91.0463638305664,-88.2222290039062,1288.37125
207,-123.96875,-132.113739013672,-112.712623596191,-107.344360351563,-91.0681686401367,-88.2419052124023,1294.620625
208,-124.003662109375,-132.140487670898,-112.735244750977,-107.37117767334,-91.0902404785156,-88.2618408203125,1300.87
209,-124.038375854492,-132.166915893555,-112.757453918457,-107.39762878418,-91.1119537353516,-88.281379699707,1307.119375
210,-124.073532104492,-132.19367980957,-112.779891967773,-107.424377441406,-91.1339263916016,-88.3011932373047,1313.3687499999999
211,-124.109115600586,-132.220748901367,-112.802558898926,-107.45140838623,-91.1561431884766,-88.3212280273438,1319.618125
212,-124.145141601563,-132.248138427734,-112.82544708252,-107.478729248047,-91.1786270141602,-88.3415298461914,1325.8674999999998
213,-124.181610107422,-132.275863647461,-112.84854888916,-107.506324768066,-91.2013626098633,-88.3620758056641,1332.116875
214,-124.218521118164,-132.30387878418,-112.871871948242,-107.534194946289,-91.224365234375,-88.3828582763672,1338.36625
215,-124.255874633789,-132.332229614258,-112.895416259766,-107.562347412109,-91.2476119995117,-88.4038848876953,1344.615625
216,-124.293655395508,-132.360916137695,-112.919166564941,-107.590797424316,-91.2711181640625,-88.425163269043,1350.865
217,-124.331344604492,-132.389312744141,-112.942558288574,-107.618927001953,-91.294303894043,-88.4461135864258,1357.1143749999999
218,-124.369445800781,-132.418045043945,-112.966156005859,-107.647338867187,-91.3177185058594,-88.4673004150391,1363.36375
219,-124.408004760742,-132.447067260742,-112.989944458008,-107.676025390625,-91.3413848876953,-88.4887161254883,1369.6131249999999
220,-124.447006225586,-132.476409912109,-113.013946533203,-107.704971313477,-91.3652877807617,-88.5103607177734,1375.8625
221,-124.486450195313,-132.506057739258,-113.038131713867,-107.734184265137,-91.3894424438477,-88.5322494506836,1382.1118749999998
222,-124.526351928711,-132.536026000977,-113.062507629395,-107.763679504395,-91.4138336181641,-88.5543670654297,1388.36125
223,-124.566696166992,-132.566284179687,-113.08708190918,-107.793418884277,-91.4384536743164,-88.5767135620117,1394.610625
224,-124.607482910156,-132.596862792969,-113.111846923828,-107.823432922363,-91.4633026123047,-88.5992736816406,1400.86
225,-124.648193359375,-132.627227783203,-113.136268615723,-107.853187561035,-91.4878768920898,-88.6215667724609,1407.109375
226,-124.689376831055,-132.65788269043,-113.160865783691,-107.883193969727,-91.5126647949219,-88.6440734863281,1413.3587499999999
227,-124.730987548828,-132.688842773438,-113.185646057129,-107.913452148438,-91.5376892089844,-88.6668014526367,1419.608125
